Machine Name,Server IP Addresses,Discovery Source,Server Host Type,SQL Instance,SQL Database name,Database size (MB),Compatibility Level,DB Status,SQL Version,SQL Edition,Total DB size (MB),Failover Cluster,Availability Group,Server Cores,Server Storage,Server Memory (MB),Server Disks,Operating System,Last updated time,First discovered time
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,TSW,OLCCTempData,1375 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),466045 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:53 AM,2/11/2025 8:44:00 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_ecommerce_db,134 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:55 AM,2/11/2025 8:44:05 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,ECOM,DBA,160 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),242284 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:50 AM,2/11/2025 8:44:07 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_servicerequests_db,23 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:29 AM,2/11/2025 8:44:07 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_accts_db,29 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:58 AM,2/11/2025 8:44:08 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_daybreak_db,40 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:49 AM,2/11/2025 8:44:09 PM
HICU6501C,192.168.130.174;fe80::75cb:a12d:62bc:30eb;192.168.130.173;fe80::de5:f28c:1d33:3f2d;10.17.17.178;10.17.17.170;10.17.17.165;10.17.17.163;10.17.17.150;10.17.17.137;10.17.17.102;fe80::c88b:e444:5d26:ae78,HICU6501C,Physical,TSW,TSWDATA,328855 MB,CompatLevel80,Online,SQL Server 2008,Developer Edition (64-bit),385104 MB,Yes,No,24,7180.75667381287 GB,524015 MB,18,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:38 AM,2/11/2025 8:44:16 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,TSW,DBA,219 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),466045 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:40 AM,2/11/2025 8:44:17 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_ving_db,23 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:02 AM,2/11/2025 8:44:17 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_daybreak_db0,26 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:09 AM,2/11/2025 8:44:22 PM
